id,group,split,language,intent,question,should_abstain,match,expected_sources,must_mention,source_urls,source_excerpts,uncertainties,verdict (ok / fix / drop),corrected_expected_sources,verified_by,verified_on,reviewer_notes
reg-023-time-limit,g-reg-23,dev,en,statute_lookup,How long do I have to present a sale deed for registration?,False,all,"Registration Act, 1908 s. 23",four months,https://indiacode.gov.in/handle/123456789/496068,"[Registration Act, 1908 s. 23] 23. Time for presenting documents.—Subject to the provisions contained in sections 24, 25 and 26, no document other than a will shall be accepted for registration unless presented for that purpose to the proper officer within four months from the date of its execution: Provided that a copy a of a decree or order may be presented within four months from the day on which the decree or order was made, or, where it is appealable, within four months from the day on which it becomes final.",draft written by Claude; expected sources copied from the ingested text; note: must_mention checked in the ingested s. 23 text,,,,,
reg-025-delay-unavoidable,reg-025-delay-unavoidable,test,en,explain,What happens if a document is presented for registration late because of an unavoidable accident?,False,all,"Registration Act, 1908 s. 25",ten times,https://indiacode.gov.in/handle/123456789/496068,"[Registration Act, 1908 s. 25] 25. Provision where delay in presentation is unavoidable.—(1) If, owing to urgent necessity or unavoidable accident, any document executed, or copy of a decree or order made, in [India] is not presented for registration till after the expiration of the time hereinbefore prescribed in that behalf, the Registrar, in cases where the delay in presentation does not exceed four months, may direct that, on payment of a fine not exceeding ten times the amount of the proper registration-fee, such …",draft written by Claude; expected sources copied from the ingested text; note: s. 25(1),,,,,
reg-017-gift-compulsory,reg-017-gift-compulsory,dev,en,statute_lookup,Is registration compulsory for a gift deed of immovable property?,False,all,"Registration Act, 1908 s. 17 (part 1 of 3)",instruments of gift of immovable property,https://indiacode.gov.in/handle/123456789/496068,"[Registration Act, 1908 s. 17 (part 1 of 3)] 17. Documents of which registration is compulsory.—(1) The following documents shall be registered, if the property to which they relate is situate in a district in which, and if they have been executed on or after the date on which, Act No. XVI of 1864, or the Indian Registration Act, 1866, or the Indian Registration Act, 1871, or the Indian Registration Act, 1877, or this Act came or comes into force, namely:— (a) instruments of gift of immovable property; (b) other non-testamentary …",draft written by Claude; expected sources copied from the ingested text; note: s. 17(1)(a); s. 17 is split into 3 chunks,,,,,
reg-049-non-registration,g-reg-49,test,en,explain,What is the effect of not registering a document that the law requires to be registered?,False,all,"Registration Act, 1908 s. 49",unless it has been registered,https://indiacode.gov.in/handle/123456789/496068,"[Registration Act, 1908 s. 49] 49. Effect of non-registration of documents required to be registered.—No document required by section 17 [or by any provision of the Transfer of Property Act, 1882 (4 of 1882)], to be registered shall— (a) affect any immovable property comprised therein, or (b) confer any power to adopt, or (c) be received as evidence of any transaction affecting such property or conferring such power, unless it has been registered: [Provided that an unregistered document affecting immovable property and …",draft written by Claude; expected sources copied from the ingested text; note: s. 49 and its proviso,,,,,
tpa-054-sale,g-tpa-54,dev,en,statute_lookup,What counts as a sale of immovable property?,False,all,"Transfer of Property Act, 1882 s. 54",transfer of ownership in exchange for a price,https://indiacode.gov.in/handle/123456789/496421,"[Transfer of Property Act, 1882 s. 54] 54. “Sale” defined.—“Sale” is a transfer of ownership in exchange for a price paid or promised or part-paid and part-promised. Sale how made.—Such transfer, in the case of tangible immoveable property of the value of one hundred rupees and upwards, or in the case of a reversion or other intangible thing, can be made only by a registered instrument. In the case of tangible immoveable property of a value less than one hundred rupees, such transfer may be made either by a registered instrument or …",draft written by Claude; expected sources copied from the ingested text,,,,,
tpa-105-lease,tpa-105-lease,test,en,statute_lookup,What is a lease of immovable property?,False,all,"Transfer of Property Act, 1882 s. 105",transfer of a right to enjoy such property,https://indiacode.gov.in/handle/123456789/496421,"[Transfer of Property Act, 1882 s. 105] 105. Lease defined.—A lease of immoveable property is a transfer of a right to enjoy such property, made for a certain time, express or implied, or in perpetuity, in consideration of a price paid or promised, or of money, a share of crops, service or any other thing of value, to be rendered periodically or on specified occasions to the transferor by the transferee, who accepts the transfer on such terms. Lessor, lessee, premium and rent defined.—The transferor is called the lessor, the …",draft written by Claude; expected sources copied from the ingested text,,,,,
tpa-122-gift-donee-dies,tpa-122-gift-donee-dies,dev,en,statute_lookup,What happens to a gift if the donee dies before accepting it?,False,all,"Transfer of Property Act, 1882 s. 122",void,https://indiacode.gov.in/handle/123456789/496421,"[Transfer of Property Act, 1882 s. 122] 122. “Gift” defined.—“Gift” is the transfer of certain existing moveable or immoveable property made voluntarily and without consideration, by one person, called the donor, to another, called the donee, and accepted by or on behalf of the donee. Acceptance when to be made.—Such acceptance must be made during the lifetime of the donor and while he is till capable of giving, If the donee dies before acceptance, the gift is void.","draft written by Claude; expected sources copied from the ingested text; note: s. 122: 'If the donee dies before acceptance, the gift is void.'",,,,,
tpa-058-mortgage,tpa-058-mortgage,test,en,statute_lookup,What is a mortgage under the Transfer of Property Act?,False,all,"Transfer of Property Act, 1882 s. 58 (part 1 of 2)",securing the payment of money,https://indiacode.gov.in/handle/123456789/496421,"[Transfer of Property Act, 1882 s. 58 (part 1 of 2)] 58. “Mortgage”, “mortgagor”, “mortgagee”, “mortgage-money” and “mortgage-deed” defined.—(a) A mortgage is the transfer of an interest in specific immoveable property for the purpose of securing the payment of money advanced or to be advanced by way of loan, an existing or future debt, or the performance of an engagement which may give rise to a pecuniary liability. The transferor is called a mortgagor, the transferee a mortgagee; the principal money and interest of which payment is secured for …",draft written by Claude; expected sources copied from the ingested text; note: s. 58(a),,,,,
tpa-106-lease-notice,g-tpa-106,dev,en,statute_lookup,How much notice is needed to end a monthly residential lease when there is no written contract?,False,all,"Transfer of Property Act, 1882 s. 106",fifteen days,https://indiacode.gov.in/handle/123456789/496421,"[Transfer of Property Act, 1882 s. 106] [106. Duration of certain leases in absence of written contract or local usage.—(1) In the absence of a contract or local law or usage to the contrary, a lease of immovable property for agricultural or manufacturing purposes shall be deemed to be a lease from year to year, terminable, on the part of either lessor or lessee, by six months’ notice; and a lease of immovable property for any other purpose shall be deemed to be a lease from month to month, terminable, on the part of either lessor or …",draft written by Claude; expected sources copied from the ingested text; note: s. 106(1); state rent laws may differ and are not ingested,,,,,
cpa-069-limitation,g-cpa-69,test,en,statute_lookup,Within how many years must a consumer complaint be filed?,False,all,"Consumer Protection Act, 2019 s. 69",two years,https://indiacode.gov.in/handle/123456789/496115,"[Consumer Protection Act, 2019 s. 69] 69. Limitation period.—(1) The District Commission, the State Commission or the National Commission shall not admit a complaint unless it is filed within two years from the date on which the cause of action has arisen. (2) Notwithstanding anything contained in sub-section (1), a complaint may be entertained after the period specified in sub-section (1), if the complainant satisfies the District Commission, the State Commission or the National Commission, as the case may be, that he had …",draft written by Claude; expected sources copied from the ingested text,,,,,
